feature_set,model,seed,outer_fold,best_score_inner,best_params
REDUCED_7,LDA_XGBoost,2026,1,0.9778226346841352,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2026,2,0.9809410394971104,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2026,3,0.9771813209459336,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2026,4,0.9765859251382146,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 600, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2026,5,0.9793746287244712,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2027,1,0.9812444798131076,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2027,2,0.9778206093330636,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2027,3,0.9778058949239034,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2027,4,0.9812503411585504,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2027,5,0.9768825539969862,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2028,1,0.9803069480085732,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2028,2,0.9784305698932276,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2028,3,0.9784354167848344,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2028,4,0.9775159344808998,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 300, ""dr__n_components"": 3}"
REDUCED_7,LDA_XGBoost,2028,5,0.9812480353035028,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3, ""clf__n_estimators"": 600, ""dr__n_components"": 3}"
REDUCED_7,LDA,2026,1,,{}
REDUCED_7,LDA,2026,2,,{}
REDUCED_7,LDA,2026,3,,{}
REDUCED_7,LDA,2026,4,,{}
REDUCED_7,LDA,2026,5,,{}
REDUCED_7,LDA,2027,1,,{}
REDUCED_7,LDA,2027,2,,{}
REDUCED_7,LDA,2027,3,,{}
REDUCED_7,LDA,2027,4,,{}
REDUCED_7,LDA,2027,5,,{}
REDUCED_7,LDA,2028,1,,{}
REDUCED_7,LDA,2028,2,,{}
REDUCED_7,LDA,2028,3,,{}
REDUCED_7,LDA,2028,4,,{}
REDUCED_7,LDA,2028,5,,{}
REDUCED_7,LogisticRegression,2026,1,0.971547785225278,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2026,2,0.9718531056544584,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2026,3,0.9693352124459308,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2026,4,0.9718582690569848,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2026,5,0.9728048224920112,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2027,1,0.9715631310426036,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2027,2,0.9705853585861484,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2027,3,0.970284711610616,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2027,4,0.971536159338119,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2027,5,0.9696636602033396,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2028,1,0.9727887058052196,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2028,2,0.9687278532593746,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2028,3,0.970293330842698,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2028,4,0.969356045112013,"{""clf__C"": 10}"
REDUCED_7,LogisticRegression,2028,5,0.97500744589838,"{""clf__C"": 10}"
REDUCED_7,MLP,2026,1,0.958083311640294,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2026,2,0.9532190834168932,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2026,3,0.9437126521571424,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2026,4,0.959015338686509,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2026,5,0.9683896062823232,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2027,1,0.9596002720272676,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2027,2,0.9608847308042084,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2027,3,0.948664501816608,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2027,4,0.9658519322546808,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2027,5,0.9582997468787248,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2028,1,0.964624627660364,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2028,2,0.9602439315656084,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2028,3,0.952734231347474,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2028,4,0.9580168628675302,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,MLP,2028,5,0.9699861198706502,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [128, 64], ""clf__learning_rate_init"": 0.001}"
REDUCED_7,QDA,2026,1,0.9611714415607344,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2026,2,0.9611648759762836,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2026,3,0.9558327960964677,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2026,4,0.9602292859644952,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2026,5,0.9614853668168908,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2027,1,0.9583524861563488,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2027,2,0.9624041700465296,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2027,3,0.9599412356728068,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2027,4,0.959888403375876,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2027,5,0.9583261330258976,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2028,1,0.9617833935490842,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2028,2,0.9602294759620384,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2028,3,0.9570632939145464,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2028,4,0.9602238876013356,"{""clf__reg_param"": 0.01}"
REDUCED_7,QDA,2028,5,0.9615204891297364,"{""clf__reg_param"": 0.01}"
REDUCED_7,RandomForest,2026,1,0.9715440066218488,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2026,2,0.9721738578413098,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
REDUCED_7,RandomForest,2026,3,0.9734177144737456,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2026,4,0.9668546420397728,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2026,5,0.9690550265035714,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2027,1,0.9696734016129904,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2027,2,0.9727961458904774,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 300}"
REDUCED_7,RandomForest,2027,3,0.9674854680788776,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2027,4,0.9677860569714746,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 600}"
REDUCED_7,RandomForest,2027,5,0.9696757389962624,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 600}"
