f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,mcc,kappa,log_loss,feature_set,model,seed,outer_fold
0.977422510115533,0.9775,0.9775,0.9778952129305626,0.9775,0.9701839481452402,0.97,0.1081994782118251,FULL_11,KNN,2028,3
0.9711691629034336,0.97125,0.97125,0.9720245571155424,0.97125,0.9619813662134404,0.9616666666666668,0.1616787330135364,FULL_11,KNN,2028,4
0.9660297247398189,0.96625,0.96625,0.9682206530900276,0.96625,0.9558028132678872,0.955,0.412161649104671,FULL_11,KNN,2028,5
0.9774554409005628,0.9775,0.9775,0.9780106516290727,0.9775,0.9702021465063104,0.97,0.084845423628377,FULL_11,LDA,2026,1
0.9799994999874996,0.98,0.98,0.98002300230023,0.98,0.9733414445458348,0.9733333333333334,0.0635829857403982,FULL_11,LDA,2026,2
0.9850024636292336,0.985,0.985,0.9852644554011654,0.985,0.9800878034654334,0.98,0.069242392503438,FULL_11,LDA,2026,3
0.9749272497141372,0.975,0.975,0.9750237417616838,0.975,0.9667230604900632,0.9666666666666668,0.1094141337376357,FULL_11,LDA,2026,4
0.964898017911725,0.965,0.965,0.9658734383511792,0.965,0.9536969996515624,0.9533333333333334,0.0951797620654408,FULL_11,LDA,2026,5
0.973674744800526,0.97375,0.97375,0.974540700794283,0.97375,0.9653157903597608,0.965,0.0772267202599337,FULL_11,LDA,2027,1
0.9787117306261296,0.97875,0.97875,0.9791603309201132,0.97875,0.9718306769329332,0.9716666666666668,0.0686499281799175,FULL_11,LDA,2027,2
0.976212628286409,0.97625,0.97625,0.976301467774251,0.97625,0.9683757006970451,0.9683333333333334,0.0751750972278791,FULL_11,LDA,2027,3
0.97499437373409,0.975,0.975,0.9752026824141729,0.975,0.9667391748239365,0.9666666666666668,0.1084495410218185,FULL_11,LDA,2027,4
0.9774764634542772,0.9775,0.9775,0.9776685266740066,0.9775,0.9700727581853982,0.97,0.094443240849535,FULL_11,LDA,2027,5
0.9712503631836144,0.97125,0.97125,0.9721104404202996,0.97125,0.9619613124431478,0.9616666666666668,0.1176199976606249,FULL_11,LDA,2028,1
0.983761293024816,0.98375,0.98375,0.983850900766398,0.98375,0.9783598309375812,0.9783333333333332,0.0539860319704399,FULL_11,LDA,2028,2
0.9774138357983836,0.9775,0.9775,0.9778385176574338,0.9775,0.9701697945723756,0.97,0.069027441385288,FULL_11,LDA,2028,3
0.9799874921826142,0.98,0.98,0.9805764411027568,0.98,0.9735361745011776,0.9733333333333334,0.0726053071586724,FULL_11,LDA,2028,4
0.969913931123395,0.97,0.97,0.969995441781898,0.97,0.9600560049004764,0.96,0.1197823933027892,FULL_11,LDA,2028,5
0.9775334356568612,0.9775,0.9775,0.9777864044168392,0.9775,0.9700747794798218,0.97,0.0680538852512093,FULL_11,LDA_MLP,2026,1
0.9800179714095644,0.98,0.98,0.9800778723192516,0.98,0.9733475280882888,0.9733333333333334,0.1295209531641497,FULL_11,LDA_MLP,2026,2
0.983761293024816,0.98375,0.98375,0.983850900766398,0.98375,0.9783598309375812,0.9783333333333332,0.057560751553932,FULL_11,LDA_MLP,2026,3
0.9750422906612268,0.975,0.975,0.9751559714795008,0.975,0.9666908342396212,0.9666666666666668,0.1221730744759743,FULL_11,LDA_MLP,2026,4
0.9649614845938376,0.965,0.965,0.9652964743589744,0.965,0.9534604698723174,0.9533333333333334,0.0941864667381741,FULL_11,LDA_MLP,2026,5
0.9774909963985594,0.9775,0.9775,0.9778645833333334,0.9775,0.9701293592057496,0.97,0.1219128782173009,FULL_11,LDA_MLP,2027,1
0.9787312470698546,0.97875,0.97875,0.9788625703564728,0.97875,0.9717172782596204,0.9716666666666668,0.0855911376006509,FULL_11,LDA_MLP,2027,2
0.9763107263107262,0.97625,0.97625,0.976498345385464,0.97625,0.9683757006970451,0.9683333333333334,0.3078887764704818,FULL_11,LDA_MLP,2027,3
